panjang_url,jumlah_titik,jumlah_strip,jumlah_digit,ada_at,ada_https,UsingIP,ShortURL,Redirecting//,PrefixSuffix-,SubDomains,HTTPSDomainURL,jumlah_kata_sensitif,label
24,1,0,0,0,1,0,0,0,0,0,0,1,1
22,1,0,0,0,1,0,0,0,0,0,0,0,1
16,1,0,0,0,1,0,0,0,0,0,0,0,0
22,1,0,1,0,1,0,1,0,0,0,0,0,1
32,2,0,0,0,1,0,0,0,0,0,0,0,1
36,2,0,1,0,1,0,1,0,0,0,0,0,1
41,2,1,5,0,0,0,0,0,1,0,0,0,1
20,1,0,0,0,1,0,0,0,0,0,0,0,0
23,1,0,0,0,1,0,1,0,0,0,0,0,1
21,1,0,0,0,1,0,0,0,0,0,0,0,0
54,2,0,6,0,1,0,0,0,0,0,0,0,1
16,1,0,0,0,1,0,0,0,0,0,0,0,0
25,1,0,0,0,1,0,0,0,0,0,0,0,0
25,1,0,0,0,1,0,0,0,0,0,0,0,0
16,1,0,0,0,1,0,0,0,0,0,0,0,0
40,2,2,0,0,1,0,0,0,1,0,0,0,1
131,2,1,19,0,1,0,0,0,0,0,0,0,1
17,1,0,0,0,1,0,0,0,0,0,0,0,0
167,2,1,20,0,1,0,0,0,0,0,0,0,1
21,1,0,0,0,1,0,0,0,0,0,0,0,0
21,1,1,1,0,1,0,0,0,1,0,0,0,1
49,2,1,0,0,1,0,0,0,1,0,0,0,1
22,1,0,2,0,1,0,1,0,0,0,0,0,1
20,1,0,0,0,1,0,0,0,0,0,0,0,0
62,3,1,26,0,1,0,0,0,1,0,0,0,1
30,1,0,0,0,1,0,0,0,0,0,0,0,0
23,2,1,0,0,1,0,0,0,1,0,0,0,1
29,1,0,0,0,1,0,0,0,0,0,0,0,1
23,2,0,1,0,1,0,0,0,0,0,0,0,1
37,2,0,0,0,1,0,0,0,0,0,0,0,1
29,2,0,0,0,1,0,0,0,0,0,0,0,1
20,1,0,1,0,1,0,0,0,0,0,0,0,1
167,2,3,20,0,1,0,0,0,0,0,0,0,1
28,1,0,2,0,1,0,1,0,0,0,0,0,1
64,2,1,32,0,0,0,0,0,1,0,0,0,1
162,3,9,16,0,1,0,0,0,0,0,0,1,1
34,1,3,0,0,1,0,0,0,1,0,0,0,1
35,2,1,7,0,0,0,0,0,1,0,0,0,1
21,1,1,1,0,1,0,0,0,1,0,0,0,1
26,1,0,0,0,1,0,0,0,0,0,0,0,0
35,2,1,0,0,1,0,0,0,1,0,0,0,1
49,2,2,0,0,1,0,0,0,1,0,0,0,1
19,1,0,0,0,1,0,0,0,0,0,0,0,0
39,2,0,0,0,1,0,0,0,0,0,0,0,1
22,1,0,4,0,1,0,0,0,0,0,0,0,0
21,1,1,0,0,1,0,0,0,1,0,0,0,1
39,3,0,2,0,1,0,0,0,0,0,0,0,1
83,3,0,13,0,1,0,0,0,0,1,0,0,1
22,2,0,0,0,1,0,0,0,0,0,0,0,0
29,2,0,0,0,1,0,0,0,0,0,0,0,1
28,1,0,0,0,1,0,0,0,0,0,0,0,0
15,1,1,0,0,1,0,0,0,1,0,0,0,0
45,2,1,0,0,1,0,0,0,1,0,0,0,1
22,1,0,0,0,1,0,0,0,0,0,0,0,0
83,3,0,13,0,1,0,0,0,0,1,0,0,1
111,2,1,10,0,1,0,0,0,0,0,0,0,1
23,1,0,0,0,1,0,0,0,0,0,0,0,0
70,2,0,31,0,0,0,1,0,0,0,0,0,1
40,2,0,0,0,1,0,0,0,0,0,0,0,1
27,1,0,0,0,1,0,0,0,0,0,0,0,1
51,3,0,2,0,1,0,0,0,0,1,0,0,1
38,2,0,0,0,1,0,0,0,0,0,0,0,1
71,2,0,7,0,1,0,0,0,0,0,0,0,1
335,8,0,72,0,0,0,0,0,0,0,0,0,1
23,2,0,0,0,1,0,0,0,0,0,0,0,1
39,2,0,0,0,1,0,0,0,0,0,0,0,1
23,2,0,0,0,1,0,0,0,0,0,0,0,1
34,3,0,0,0,1,0,0,0,0,1,0,1,1
26,1,1,0,0,1,0,0,0,1,0,0,0,1
19,1,0,0,0,1,0,0,0,0,0,0,0,0
19,1,0,0,0,1,0,0,0,0,0,0,0,0
21,1,1,1,0,1,0,0,0,1,0,0,0,1
20,1,0,2,0,1,0,0,0,0,0,0,0,0
21,1,1,2,0,1,0,0,0,1,0,0,0,1
102,2,1,12,0,0,0,0,0,0,0,0,0,1
19,2,0,0,0,1,0,0,0,0,0,0,0,0
15,1,0,0,0,1,0,0,0,0,0,0,0,0
21,1,1,1,0,1,0,0,0,1,0,0,0,1
21,1,0,0,0,1,0,0,0,0,0,0,0,0
70,2,2,2,0,1,0,0,0,1,0,0,0,1
20,1,0,0,0,1,0,0,0,0,0,0,0,0
178,3,2,21,0,1,0,0,0,0,0,0,0,1
28,2,0,0,0,1,0,0,0,0,0,0,0,1
17,1,0,0,0,1,0,0,0,0,0,0,0,0
34,2,1,3,0,1,0,0,0,1,0,0,0,1
48,3,0,2,0,0,0,0,0,0,0,0,0,1
188,3,4,13,0,1,0,0,0,0,0,0,0,1
19,1,0,0,0,1,0,0,0,0,0,0,0,0
24,1,0,0,0,1,0,0,0,0,0,0,0,0
33,1,0,0,0,1,0,0,0,0,0,0,0,0
25,2,0,0,0,1,0,0,0,0,0,0,0,0
205,3,1,21,0,1,0,0,0,0,0,0,0,1
111,2,3,8,0,1,0,0,0,0,0,0,0,1
19,1,0,0,0,1,0,0,0,0,0,0,0,0
17,1,0,0,0,1,0,0,0,0,0,0,0,0
18,1,0,0,0,1,0,0,0,0,0,0,0,0
15,1,0,0,0,1,0,0,0,0,0,0,0,0
22,1,0,1,0,1,0,0,0,0,0,0,0,1
26,1,0,0,0,1,0,0,0,0,0,0,0,0
22,1,0,0,0,1,0,0,0,0,0,0,0,0
175,2,2,19,0,1,0,0,0,0,0,0,0,1
24,1,0,0,0,1,0,0,0,0,0,0,0,1
21,1,1,1,0,1,0,0,0,1,0,0,0,1
35,2,0,0,0,1,0,0,0,0,0,0,0,1
40,2,2,0,0,1,0,0,0,1,0,0,0,1
24,1,0,0,0,1,0,0,0,0,0,0,0,0
37,2,2,0,0,0,0,0,0,1,0,0,0,1
62,3,1,22,0,1,0,0,0,1,0,0,0,1
40,2,0,4,0,1,0,0,0,0,0,0,0,1
84,2,1,9,0,1,0,0,0,0,0,0,0,1
23,1,0,2,0,1,0,1,0,0,0,0,0,1
175,2,4,24,0,1,0,0,0,0,0,0,0,1
19,1,0,0,0,1,0,0,0,0,0,0,0,0
25,1,0,0,0,1,0,0,0,0,0,0,0,0
39,2,0,0,0,1,0,0,0,0,0,0,0,1
19,1,0,0,0,1,0,0,0,0,0,0,0,0
26,1,0,0,0,1,0,0,0,0,0,0,0,0
17,1,0,0,0,1,0,0,0,0,0,0,0,0
20,1,0,0,0,1,0,0,0,0,0,0,0,0
84,2,0,12,0,1,0,0,0,0,0,0,0,1
20,1,0,0,0,1,0,0,0,0,0,0,0,0
37,2,1,3,0,1,0,0,0,1,0,0,0,1
26,1,0,0,0,1,0,0,0,0,0,0,0,0
67,1,0,4,0,1,0,0,0,0,0,0,0,1
131,2,2,12,0,1,0,0,0,0,0,0,0,1
32,1,2,0,0,1,0,0,0,1,0,0,0,0
23,1,0,0,0,1,0,0,0,0,0,0,0,0
20,1,0,0,0,1,0,1,0,0,0,0,0,0
29,1,0,0,0,1,0,0,0,0,0,0,0,0
21,1,0,0,0,1,0,0,0,0,0,0,0,0
37,2,2,0,0,1,0,0,0,1,0,0,0,1
175,2,2,20,0,1,0,0,0,0,0,0,0,1
47,2,1,1,0,1,0,0,0,1,0,0,0,1
22,1,0,0,0,1,0,0,0,0,0,0,0,0
25,1,0,0,0,1,0,0,0,0,0,0,0,0
19,1,0,0,0,1,0,0,0,0,0,0,0,0
123,4,1,10,0,1,0,0,0,0,0,0,0,1
134,3,1,9,0,1,0,0,0,0,0,0,0,1
18,1,0,0,0,1,0,0,0,0,0,0,0,0
45,2,0,2,0,1,0,0,0,0,0,0,0,1
39,2,0,0,0,1,0,0,0,0,0,0,0,1
33,1,0,0,0,1,0,0,0,0,0,0,0,0
21,1,1,0,0,1,0,0,0,1,0,0,0,1
27,1,0,0,0,1,0,0,0,0,0,0,0,0
31,2,1,0,0,1,0,0,0,1,0,0,0,1
20,1,0,0,0,1,0,0,0,0,0,0,0,0
29,1,0,0,0,1,0,0,0,0,0,0,0,1
50,3,0,10,0,1,0,0,0,0,1,0,0,1
22,1,0,2,0,1,0,0,0,0,0,0,0,0
27,2,0,1,0,1,0,0,0,0,0,0,0,1
29,2,0,0,0,1,0,0,0,0,0,0,0,1
21,1,0,0,0,1,0,0,0,0,0,0,0,0
22,1,0,3,0,1,0,1,0,0,0,0,0,1
22,1,0,0,0,1,0,0,0,0,0,0,0,0
28,1,0,0,0,1,0,0,0,0,0,0,0,0
23,1,0,0,0,1,0,0,0,0,0,0,0,0
23,1,0,4,0,1,0,1,0,0,0,0,0,1
